S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,9/5/2019,71,15371,6543883,427,425,425
2,9/4/2019,102,22525,9586617,429,420,426
3,9/3/2019,113,36698,15343752,426,412,424
4,9/2/2019,164,43531,18214197,424,414,417
5,9/1/2019,76,17893,7593805,428,421,421
6,8/29/2019,93,11405,4854431,427,423,426
7,8/28/2019,103,21023,8939417,427,424,425
8,8/27/2019,70,14181,6053544,429,424,426
9,8/26/2019,79,16088,6848352,430,425,425
10,8/25/2019,80,20297,8636520,427,423,427
11,8/22/2019,102,28290,12073166,430,425,428
12,8/21/2019,91,20878,8931846,430,425,429
13,8/20/2019,88,17383,7450235,432,427,427
14,8/19/2019,149,38717,16664649,434,429,431
15,8/18/2019,107,36698,15791949,433,429,430
16,8/15/2019,71,36318,15617733,433,425,430
17,8/14/2019,68,13082,5611375,430,425,429
18,8/13/2019,79,17896,7684296,437,428,428
19,8/12/2019,89,20621,8874359,433,429,431
20,8/11/2019,128,25832,11083039,431,428,430
21,8/8/2019,130,34679,14952093,435,429,431
22,8/7/2019,163,56560,24597261,439,426,435
23,8/6/2019,374,196356,85441368,442,430,432
24,8/5/2019,156,44680,19438245,437,431,433
25,8/4/2019,201,68518,29635044,438,424,437
26,8/1/2019,156,37084,15978023,436,429,430
27,7/31/2019,124,42713,18385719,433,422,431
28,7/30/2019,122,31788,13636050,431,426,429
29,7/29/2019,136,35679,15252712,430,425,427
30,7/28/2019,171,96129,40824306,429,422,425
31,7/25/2019,236,97104,41832806,434,427,430
32,7/24/2019,231,61735,26669384,435,428,433
33,7/23/2019,396,105508,45122369,435,418,435
34,7/22/2019,92,19276,8027232,419,414,416
35,7/21/2019,81,14478,5983850,417,411,414
36,7/18/2019,89,20493,8606616,423,413,418
37,7/17/2019,116,29854,12373748,418,408,417
38,7/16/2019,52,8675,3551664,426,406,409
39,7/15/2019,54,9018,3661194,408,405,406
40,7/14/2019,61,10033,4077461,411,405,406
41,7/11/2019,83,19978,8131280,410,405,405
42,7/10/2019,104,26313,10659137,407,402,407
43,7/9/2019,54,9165,3709286,407,401,405
44,7/8/2019,81,29244,11881049,410,405,406
45,7/7/2019,105,30964,12640382,410,407,408
46,7/4/2019,89,16330,6718284,415,410,411
47,7/3/2019,87,24200,9954921,415,407,414
48,7/2/2019,110,21391,8710902,413,404,410
49,7/1/2019,73,12593,5116376,408,404,405
50,6/30/2019,61,11120,4556249,413,406,407
51,6/27/2019,76,18157,7482348,413,410,413
52,6/26/2019,69,17369,7178981,418,412,413
53,6/25/2019,114,25298,10492517,417,411,416
54,6/24/2019,108,37528,15355103,413,403,411
55,6/23/2019,63,6869,2783450,407,403,405
56,6/20/2019,73,11029,4473915,409,403,406
57,6/19/2019,85,23061,9290711,404,400,404
58,6/18/2019,87,24044,9692672,405,401,402
59,6/17/2019,181,42955,17362298,406,402,403
60,6/16/2019,170,44708,18167621,411,404,404
61,6/13/2019,119,30086,12412971,415,411,411
62,6/12/2019,81,17469,7220128,415,411,415
63,6/11/2019,143,62742,25967297,417,412,416
64,6/10/2019,131,33018,13633201,416,411,412
65,6/6/2019,104,25497,10575644,418,413,413
66,6/4/2019,130,48716,20235238,420,414,416
67,6/3/2019,198,64123,26762825,430,414,414
68,6/2/2019,124,29715,12545548,433,420,422
69,5/30/2019,284,94006,40819611,451,426,428
70,5/29/2019,121,54281,22860673,426,420,424
71,5/28/2019,94,13321,5614326,428,420,421
72,5/27/2019,117,44153,18639138,426,419,422
73,5/26/2019,165,50429,21534332,434,423,425
74,5/23/2019,393,97795,42269147,438,426,431
75,5/22/2019,235,92882,39158539,426,418,424
76,5/21/2019,155,42776,17914835,422,413,418
77,5/20/2019,239,59854,25421001,432,416,418
78,5/19/2019,272,67027,28287316,430,416,422
79,5/16/2019,356,112016,48120933,445,421,421
80,5/15/2019,533,133601,57604100,447,416,438
81,5/14/2019,495,194265,78698606,421,388,416
82,5/13/2019,74,20540,7973653,391,384,386
83,5/12/2019,67,17340,6710113,390,384,390
84,5/9/2019,159,94677,36879426,396,386,388
85,5/8/2019,83,35169,13592595,390,384,388
86,5/7/2019,137,39057,15128947,390,384,389
87,5/6/2019,161,40670,15477317,388,374,388
88,5/5/2019,139,55477,21102433,385,376,379
89,5/2/2019,85,24698,9481016,387,381,385
90,4/30/2019,102,27561,10693644,391,382,390
91,4/29/2019,145,45136,17504758,395,383,389
92,4/28/2019,292,111393,44012947,410,389,395
93,4/25/2019,397,145400,54368454,389,354,388
94,4/24/2019,155,68938,24151432,354,341,354
95,4/23/2019,81,17832,6131042,346,340,346
96,4/22/2019,76,19348,6651134,353,336,342
97,4/21/2019,97,28028,9683001,350,343,348
98,4/18/2019,156,49470,17024357,350,336,350
99,4/17/2019,117,24403,8139156,338,326,338
100,4/16/2019,61,17829,5743883,327,313,326
101,4/15/2019,50,11551,3644602,318,313,318
102,4/11/2019,97,22147,6995031,319,313,315
103,4/10/2019,39,8299,2589517,314,310,312
104,4/9/2019,52,21533,6760574,318,311,311
105,4/8/2019,105,21933,6888574,320,310,316
106,4/7/2019,73,11864,3608242,309,298,309
107,4/4/2019,62,11579,3514973,305,301,304
108,4/3/2019,78,15802,4801499,307,301,305
109,4/2/2019,82,15332,4614974,304,299,302
110,4/1/2019,57,12690,3727397,297,292,297
111,3/31/2019,78,11187,3297517,296,293,295
112,3/28/2019,63,9227,2717238,298,292,294
113,3/27/2019,43,4409,1297607,299,293,294
114,3/26/2019,43,10218,3004027,298,293,294
115,3/25/2019,58,8653,2542696,298,292,294
116,3/24/2019,53,8327,2456898,299,293,293
117,3/21/2019,48,3230,958182,300,296,296
118,3/19/2019,34,3883,1161810,301,298,298
119,3/18/2019,38,10211,3081183,304,301,301
120,3/17/2019,57,8247,2493508,305,300,302
121,3/14/2019,42,6832,2049494,303,296,302
122,3/13/2019,72,15026,4565207,306,300,301
123,3/12/2019,80,16058,4841461,306,298,305
124,3/11/2019,52,9999,2968677,301,293,298
125,3/10/2019,16,2777,812277,294,292,293
126,3/7/2019,51,8624,2525631,294,290,294
127,3/6/2019,37,2085,607485,293,290,292
128,3/5/2019,47,5732,1676605,294,291,292
129,3/3/2019,105,14076,4152484,314.15,291,294
130,2/27/2019,134,27442,9131780,335,330,333
131,2/26/2019,84,18064,5988178,334,331,332
132,2/25/2019,109,15959,5247484,333,327,331
133,2/24/2019,68,6833,2254037,333,329,330
134,2/21/2019,64,9054,3009340,335,329,333
135,2/20/2019,32,2685,885805,333,329,329
136,2/19/2019,34,3150,1037416,333,324,333
137,2/18/2019,43,9327,3059976,330,325,329
138,2/17/2019,66,18875,6240959,336,328,330
139,2/14/2019,50,13107,4305232,331,327,330
140,2/13/2019,45,13830,4573349,332,329,329
141,2/12/2019,37,5722,1891110,333,330,332
142,2/11/2019,62,6268,2083996,335,328,332
143,2/10/2019,50,6098,2020161,335,330,332
144,2/7/2019,45,5500,1833345,337,330,334
145,2/6/2019,44,6099,2052857,352,335,335
146,2/5/2019,37,5648,1918507,340,338,338
147,2/4/2019,54,13265,4473593,340,335,339
148,2/3/2019,48,12977,4394242,340,337,338
149,1/31/2019,45,5850,1987034,342,339,339
150,1/30/2019,27,3892,1321885,341,339,339
151,1/29/2019,26,2612,890323,342,340,341
152,1/28/2019,44,8647,2942284,345,338,342
153,1/27/2019,48,4235,1440935,342,339,339
154,1/24/2019,38,16140,5534274,344,342,342
155,1/23/2019,20,2273,779371,344,342,343
156,1/22/2019,35,5188,1766808,343,337,343
157,1/21/2019,51,6616,2261498,346,340,342
158,1/20/2019,31,4556,1561090,345,341,345
159,1/17/2019,35,3486,1211240,350,345,345
160,1/16/2019,42,9525,3331492,351,348,350
161,1/15/2019,30,7663,2680602,350,348,350
162,1/14/2019,55,20430,7119464,351,348,350
163,1/13/2019,139,22250,7819638,357,346,349
164,1/10/2019,28,4955,1731162,354,348,350
165,1/9/2019,46,8599,3009488,351,348,348
166,1/8/2019,43,8069,2806308,349,346,349
167,1/7/2019,19,2680,927285,350,344,346
168,1/6/2019,47,9776,3397795,352,344,344
169,1/3/2019,34,7294,2525136,348,340,345
170,1/2/2019,55,7467,2579702,347,345,345
171,1/1/2019,74,22211,7679732,350,344,346
172,12/31/2018,74,16215,5652066,352,347,348
173,12/30/2018,47,11317,3996299,359,351,351
174,12/27/2018,114,36773,13261233,365,358,359
175,12/26/2018,91,22157,7935447,362,352,362
176,12/25/2018,36,8383,2949174,357,351,353
177,12/24/2018,67,14350,5113123,362,352,357
178,12/23/2018,75,16974,6027783,362,349,357
179,12/20/2018,57,14032,4890441,351,343,349
180,12/19/2018,21,3717,1275257,345,342,343
181,12/18/2018,53,10127,3507399,355,343,344
182,12/17/2018,37,5225,1824890,355,340,355
183,12/16/2018,61,18570,6353690,344,338,344
184,12/13/2018,38,5226,1774269,345,335,338
185,12/12/2018,8,990,335180,341,336,337
186,12/11/2018,29,3705,1242067,339,333,336
187,12/10/2018,49,5830,1958343,340,330,335
188,12/9/2018,27,2982,982730,335,327,335
189,12/6/2018,46,8394,2724034,331,320,327
190,12/5/2018,57,21447,7063344,340,326,329
191,12/4/2018,28,2973,988616,335,326,334
192,12/3/2018,57,9202,3048582,335,329,330
193,12/2/2018,49,9756,3232404,338,329,333
194,11/29/2018,29,6964,2348674,340,336,338
195,11/28/2018,27,2677,909102,340,339,340
196,11/27/2018,41,5914,2015501,346,338,340
197,11/26/2018,39,5374,1819930,341.05,335,339
198,11/25/2018,36,8678,2973479,345,341,341.05
