S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-09-05,7,1000.00,99055.00,100.00,99.00,99.00
2,2019-09-04,12,2835.00,283797.00,102.00,99.00,101.00
3,2019-09-03,33,9208.00,911194.00,102.00,98.00,101.00
4,2019-09-02,5,609.00,60751.00,100.00,99.00,100.00
5,2019-09-01,19,10384.00,1030588.00,100.00,98.00,100.00
6,2019-08-29,16,8025.00,804800.00,101.00,100.00,100.00
7,2019-08-28,13,5672.00,568317.00,101.00,100.00,101.00
8,2019-08-27,12,2522.00,252712.00,102.00,100.00,101.00
9,2019-08-26,14,3710.00,372300.00,101.00,100.00,100.00
10,2019-08-25,15,2979.00,301289.00,103.00,101.00,101.00
11,2019-08-22,11,3050.00,308350.00,103.00,101.00,103.00
12,2019-08-21,2,242.00,24442.00,101.00,101.00,101.00
13,2019-08-20,3,1610.00,164220.00,102.00,102.00,102.00
14,2019-08-19,22,5229.00,534024.00,104.00,101.00,102.00
15,2019-08-18,15,6153.00,629400.00,104.00,101.00,101.00
16,2019-08-15,8,1700.00,175300.00,105.00,103.00,103.00
17,2019-08-14,13,2066.00,212706.00,104.00,102.00,103.00
18,2019-08-13,37,11471.00,1194480.00,106.00,102.00,106.00
19,2019-08-12,16,4891.00,509805.00,105.00,103.00,104.00
20,2019-08-11,16,2955.00,307259.00,104.00,103.00,104.00
21,2019-08-08,7,3470.00,363450.00,105.00,104.00,104.00
22,2019-08-07,8,778.00,82428.00,108.00,104.00,105.00
23,2019-08-06,10,4948.00,511083.00,105.00,103.00,105.00
24,2019-08-05,10,1629.00,170876.00,106.00,104.00,104.00
25,2019-08-04,9,1475.00,155228.00,106.00,105.00,105.00
26,2019-08-01,13,5524.00,582169.00,107.00,104.00,107.00
27,2019-07-31,12,6350.00,663800.00,106.00,104.00,104.00
28,2019-07-30,24,6695.00,693536.00,106.00,103.00,106.00
29,2019-07-29,10,1033.00,107760.00,105.00,103.00,104.00
30,2019-07-28,14,2766.00,288286.00,106.00,103.00,103.00
31,2019-07-25,6,1459.00,153016.00,106.00,104.00,104.00
32,2019-07-24,5,513.00,55128.00,108.00,106.00,108.00
33,2019-07-23,11,3362.00,358552.00,108.00,106.00,107.00
34,2019-07-22,7,320.00,34840.00,111.00,105.00,109.00
35,2019-07-21,17,6761.00,708374.00,108.00,104.00,106.00
36,2019-07-18,4,7448.00,811681.00,110.00,108.00,110.00
37,2019-07-17,12,2535.00,270823.00,109.00,105.00,108.00
38,2019-07-16,1,10.00,1110.00,111.00,111.00,111.00
39,2019-07-15,10,4158.00,444886.00,108.00,106.00,106.00
40,2019-07-14,10,1372.00,144662.00,107.00,105.00,105.00
41,2019-07-11,16,7142.00,746905.00,106.00,104.00,105.00
42,2019-07-10,16,9804.00,1039007.00,106.00,105.00,106.00
43,2019-07-09,19,13172.00,1392077.00,107.00,104.00,105.00
44,2019-07-08,23,10129.00,1054904.00,106.00,103.00,105.00
45,2019-07-07,12,4846.00,516510.00,108.00,105.00,106.00
46,2019-07-04,7,2516.00,267680.00,107.00,105.00,106.00
47,2019-07-03,23,5508.00,591819.00,110.00,104.00,106.00
48,2019-07-02,17,3202.00,337050.00,107.00,104.00,106.00
49,2019-07-01,2,35.00,3715.00,109.00,99.00,109.00
50,2019-06-30,56,35200.00,3642065.00,106.00,102.00,104.00
51,2019-06-27,8,4110.00,438258.00,108.00,106.00,108.00
52,2019-06-26,13,5439.00,575325.00,107.00,105.00,107.00
53,2019-06-25,14,2979.00,317462.00,108.00,106.00,108.00
54,2019-06-24,9,879.00,93334.00,108.00,106.00,106.00
55,2019-06-23,19,6274.00,665925.00,108.00,105.00,108.00
56,2019-06-20,8,1501.00,160580.00,108.00,106.00,108.00
57,2019-06-19,7,1072.00,113692.00,108.00,105.00,107.00
58,2019-06-18,12,1761.00,189630.00,110.00,107.00,107.00
59,2019-06-17,17,6211.00,664685.00,111.00,104.00,111.00
60,2019-06-16,29,10553.00,1106897.00,110.00,104.00,104.00
61,2019-06-13,14,3704.00,394173.00,108.00,106.00,106.00
62,2019-06-12,31,10831.00,1153783.00,109.00,106.00,108.00
63,2019-06-11,16,1630.00,175506.00,110.00,107.00,107.00
64,2019-06-10,33,7113.00,768869.00,112.00,108.00,108.00
65,2019-06-06,8,1525.00,166840.00,114.00,108.00,110.00
66,2019-06-04,16,9174.00,994672.00,110.00,108.00,109.00
67,2019-06-03,27,10835.00,1176800.00,111.00,108.00,109.00
68,2019-06-02,42,21946.00,2387378.00,111.00,108.00,111.00
69,2019-05-30,80,28378.00,3286383.00,120.00,111.00,113.00
70,2019-05-29,51,26080.00,2990830.00,116.00,113.00,114.00
71,2019-05-28,37,17133.00,1906139.00,115.00,107.00,112.00
72,2019-05-27,28,12332.00,1364730.00,114.00,109.00,109.00
73,2019-05-26,48,41150.00,4555137.00,114.00,110.00,112.00
74,2019-05-23,114,50594.00,5809644.00,125.00,111.00,114.00
75,2019-05-22,234,117028.00,13784407.00,121.00,111.00,121.00
76,2019-05-21,50,23057.00,2533493.00,112.00,108.00,110.00
77,2019-05-20,21,7072.00,751231.00,108.00,104.00,108.00
78,2019-05-19,7,764.00,81280.00,107.00,105.00,107.00
79,2019-05-16,13,3771.00,398296.00,108.00,105.00,105.00
80,2019-05-15,31,11621.00,1258346.00,110.00,107.00,107.00
