S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-09-05,33,5397.00,1775347.00,334.00,325.00,329.00
2,2019-09-04,66,8783.00,2935986.00,344.00,325.00,333.00
3,2019-09-03,44,4658.00,1473321.00,333.00,304.00,333.00
4,2019-09-02,54,13514.00,4189283.00,318.00,307.00,309.00
5,2019-09-01,56,10968.00,3503360.00,328.00,313.00,313.00
6,2019-08-29,16,1492.00,492995.00,336.00,326.00,326.00
7,2019-08-28,20,2347.00,783277.00,342.00,330.00,336.00
8,2019-08-27,12,595.00,203390.00,344.00,338.00,342.00
9,2019-08-26,18,2472.00,828005.00,339.00,332.00,337.00
10,2019-08-25,22,4882.00,1645262.00,345.00,334.00,345.00
11,2019-08-22,25,3725.00,1267317.00,351.00,337.00,339.00
12,2019-08-21,28,5744.00,1935197.00,340.00,334.00,338.00
13,2019-08-20,18,5976.00,2046918.00,345.00,340.00,340.00
14,2019-08-19,23,3072.00,1055111.00,350.00,337.00,349.00
15,2019-08-18,36,4727.00,1623542.00,349.00,342.00,343.00
16,2019-08-15,30,2504.00,865594.00,350.00,345.00,348.00
17,2019-08-14,22,2573.00,902370.00,354.00,349.00,349.00
18,2019-08-13,5,169.00,59669.00,358.00,351.00,351.00
19,2019-08-12,34,5121.00,1799086.00,354.00,346.00,354.00
20,2019-08-11,23,3155.00,1111898.00,355.00,350.00,352.00
21,2019-08-08,15,2239.00,806984.00,367.00,356.00,356.00
22,2019-08-07,14,1757.00,634307.00,363.00,357.00,360.00
23,2019-08-06,31,2934.00,1055860.00,365.00,358.00,358.00
24,2019-08-05,42,4508.00,1637915.00,369.00,362.00,362.00
25,2019-08-04,39,5081.00,1875995.00,374.00,364.00,364.00
26,2019-08-01,37,3560.00,1317615.00,375.00,368.00,372.00
27,2019-07-31,27,7012.00,2597390.00,373.00,368.00,370.00
28,2019-07-30,20,4170.00,1542271.00,375.00,368.00,368.00
29,2019-07-29,28,2396.00,884724.00,372.00,368.00,368.00
30,2019-07-28,37,4700.00,1745059.00,375.00,369.00,372.00
31,2019-07-25,26,3692.00,1395546.00,381.00,377.00,378.00
32,2019-07-24,52,13058.00,4968936.00,385.00,377.00,383.00
33,2019-07-23,56,6201.00,2346466.00,382.00,377.00,378.00
34,2019-07-22,48,5707.00,2162575.00,382.00,378.00,379.00
35,2019-07-21,51,7635.00,2890694.00,386.00,377.00,381.00
36,2019-07-18,54,7613.00,2922804.00,393.00,380.00,382.00
37,2019-07-17,21,2255.00,880676.00,395.00,385.00,395.00
38,2019-07-16,21,2489.00,960432.00,406.00,382.00,383.00
39,2019-07-15,21,2624.00,1013459.00,388.00,384.00,387.00
40,2019-07-14,15,1384.00,533206.00,387.00,382.00,387.00
41,2019-07-11,17,2648.00,1025705.00,390.00,382.00,386.00
42,2019-07-10,13,1015.00,394578.00,393.00,382.00,382.00
43,2019-07-09,14,1492.00,570975.00,385.00,381.00,382.00
44,2019-07-08,11,930.00,357718.00,390.00,382.00,382.00
