S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-09-05,71,8861.00,6906071.00,792.00,777.00,780.00
2,2019-09-04,80,15241.00,11835353.00,781.00,770.00,777.00
3,2019-09-03,71,8894.00,6777484.00,775.00,750.00,774.00
4,2019-09-02,65,6969.00,5301083.00,769.00,756.00,758.00
5,2019-09-01,70,9261.00,7131662.00,772.00,767.00,769.00
6,2019-08-29,73,9213.00,7102386.00,775.00,768.00,770.00
7,2019-08-28,52,4274.00,3309179.00,790.00,770.00,770.00
8,2019-08-27,59,5949.00,4611481.00,780.00,771.00,778.00
9,2019-08-26,117,23330.00,17929030.00,776.00,760.00,775.00
10,2019-08-25,60,7386.00,5716394.00,780.00,771.00,776.00
11,2019-08-22,89,7473.00,5819886.00,781.00,777.00,777.00
12,2019-08-21,77,13659.00,10607288.00,779.00,775.00,778.00
13,2019-08-20,72,12518.00,9741646.00,782.00,777.00,778.00
14,2019-08-19,107,10297.00,8024707.00,784.00,776.00,778.00
15,2019-08-18,74,12387.00,9681667.00,790.00,779.00,779.00
16,2019-08-15,47,13055.00,10216347.00,785.00,780.00,784.00
17,2019-08-14,96,11640.00,9077408.00,784.00,775.00,779.00
18,2019-08-13,52,6190.00,4840872.00,785.00,781.00,782.00
19,2019-08-12,62,5650.00,4425270.00,788.00,782.00,783.00
20,2019-08-11,86,9920.00,7776326.00,788.00,781.00,784.00
21,2019-08-08,69,10432.00,8237900.00,796.00,787.00,790.00
22,2019-08-07,61,9174.00,7253945.00,795.00,784.00,790.00
23,2019-08-06,115,13321.00,10532439.00,795.00,789.00,790.00
24,2019-08-05,64,9946.00,7949617.00,800.00,795.00,800.00
25,2019-08-04,99,11095.00,8875676.00,803.00,796.00,799.00
26,2019-08-01,64,11281.00,9049631.00,805.00,800.00,801.00
27,2019-07-31,57,9199.00,7380782.00,805.00,800.00,800.00
28,2019-07-30,48,10926.00,8762095.00,805.00,800.00,801.00
29,2019-07-29,75,10970.00,8776221.00,805.00,798.00,803.00
30,2019-07-28,108,17431.00,13928301.00,808.00,796.00,797.00
31,2019-07-25,86,11336.00,9132402.00,811.00,800.00,805.00
32,2019-07-24,88,17884.00,14464085.00,815.00,805.00,812.00
33,2019-07-23,100,13387.00,10777123.00,810.00,802.00,808.00
34,2019-07-22,96,19698.00,15859921.00,819.00,803.00,805.00
35,2019-07-21,102,19195.00,15373045.00,810.00,800.00,801.00
36,2019-07-18,73,15304.00,12441575.00,820.00,808.00,812.00
37,2019-07-17,77,17512.00,14114496.00,814.00,800.00,813.00
38,2019-07-16,176,25920.00,20690486.00,838.00,792.00,800.00
39,2019-07-15,228,30861.00,24844803.00,833.00,799.00,799.00
40,2019-07-14,70,3781.00,3114375.00,827.00,820.00,825.00
41,2019-07-11,102,8966.00,7349011.00,824.00,813.00,823.00
42,2019-07-10,75,9931.00,8029610.00,815.00,801.00,811.00
43,2019-07-09,115,11678.00,9317059.00,806.00,786.00,806.00
44,2019-07-08,51,4253.00,3346218.00,790.00,785.00,787.00
45,2019-07-07,69,6481.00,5135732.00,805.00,790.00,790.00
46,2019-07-04,61,10401.00,8304199.00,800.00,795.00,798.00
47,2019-07-03,70,7949.00,6256691.00,799.00,775.00,795.00
48,2019-07-02,100,9500.00,7396723.00,785.00,775.00,784.00
49,2019-07-01,75,8539.00,6680735.00,785.00,780.00,785.00
50,2019-06-30,164,28406.00,22459703.00,806.00,785.00,785.00
51,2019-06-27,122,12955.00,10381928.00,815.00,799.00,800.00
52,2019-06-26,55,7826.00,6305130.00,810.00,802.00,804.00
53,2019-06-25,58,4883.00,3941709.00,810.00,800.00,810.00
54,2019-06-24,55,3446.00,2774340.00,808.00,802.00,808.00
55,2019-06-23,65,5595.00,4509094.00,820.00,804.00,805.00
56,2019-06-20,60,4301.00,3483762.00,814.00,805.00,812.00
57,2019-06-19,47,3158.00,2548422.00,829.00,803.00,814.00
58,2019-06-18,72,8230.00,6675233.00,816.00,806.00,814.00
59,2019-06-17,68,10347.00,8422115.00,816.00,807.00,816.00
60,2019-06-16,78,13511.00,11054441.00,822.00,813.00,814.00
61,2019-06-13,53,9849.00,8084710.00,834.00,818.00,827.00
62,2019-06-12,55,8943.00,7321965.00,823.00,815.00,820.00
63,2019-06-11,57,8030.00,6604807.00,826.00,820.00,822.00
64,2019-06-10,57,4518.00,3747090.00,842.00,820.00,826.00
65,2019-06-06,47,4877.00,4044107.00,832.00,826.00,828.00
66,2019-06-04,40,3935.00,3274335.00,843.00,829.00,829.00
67,2019-06-03,40,2874.00,2391215.00,835.00,830.00,833.00
68,2019-06-02,61,6077.00,5092634.00,848.00,832.00,834.00
69,2019-05-30,72,9146.00,7847192.00,882.00,847.00,847.00
70,2019-05-29,34,3151.00,2643739.00,840.00,837.00,840.00
71,2019-05-28,26,2822.00,2357557.00,844.00,830.00,836.00
72,2019-05-27,21,2539.00,2126755.00,840.00,835.00,840.00
73,2019-05-26,52,5463.00,4580200.00,857.00,835.00,840.00
74,2019-05-23,48,5508.00,4631903.00,845.00,835.00,841.00
75,2019-05-22,33,1981.00,1666961.00,856.00,835.00,841.00
76,2019-05-21,41,4169.00,3480164.00,840.00,827.00,840.00
77,2019-05-20,59,5507.00,4593487.00,849.00,830.00,830.00
78,2019-05-19,43,6356.00,5322545.00,855.00,831.00,843.00
79,2019-05-16,61,6365.00,5396030.00,858.00,845.00,845.00
80,2019-05-15,57,5163.00,4401510.00,860.00,844.00,851.00
81,2019-05-14,44,3614.00,3042368.00,850.00,837.00,848.00
82,2019-05-13,39,2652.00,2239367.00,855.00,841.00,844.00
83,2019-05-12,39,3539.00,2969502.00,845.00,831.00,841.00
84,2019-05-09,44,2950.00,2486583.00,862.00,838.00,841.00
85,2019-05-08,53,7578.00,6380515.00,855.00,840.00,846.00
86,2019-05-07,66,8243.00,7040204.00,869.00,850.00,850.00
87,2019-05-06,73,8355.00,7017752.00,855.00,834.00,851.00
88,2019-05-05,87,9479.00,7923076.00,844.00,830.00,835.00
89,2019-05-02,68,6201.00,5263300.00,855.00,845.00,847.00
90,2019-04-30,81,7584.00,6535452.00,871.00,851.00,856.00
91,2019-04-29,77,8403.00,7330752.00,880.00,866.00,868.00
92,2019-04-28,119,9506.00,8416974.00,891.00,873.00,873.00
93,2019-04-25,86,9441.00,8344073.00,895.00,877.00,880.00
94,2019-04-24,72,6811.00,5986456.00,894.00,864.00,878.00
95,2019-04-23,147,15000.00,13127950.00,890.00,859.00,881.00
96,2019-04-22,221,29675.00,26446983.00,900.00,868.00,880.00
97,2019-04-21,185,28899.00,24371418.00,867.00,815.00,866.00
98,2019-04-18,126,15287.00,12154425.00,810.00,785.00,810.00
99,2019-04-17,97,11183.00,8655913.00,780.00,766.00,773.00
100,2019-04-16,55,6057.00,4601029.00,773.00,747.00,766.00
101,2019-04-15,35,3377.00,2508067.00,746.00,736.00,746.00
102,2019-04-11,66,7882.00,5833869.00,743.00,736.00,736.00
103,2019-04-10,67,8232.00,6083115.00,749.00,735.00,740.00
104,2019-04-09,105,12325.00,9165403.00,750.00,740.00,743.00
105,2019-04-08,133,23599.00,17506141.00,755.00,730.00,740.00
106,2019-04-07,104,23725.00,17210067.00,732.00,721.00,732.00
107,2019-04-04,69,8188.00,5926768.00,728.00,718.00,727.00
108,2019-04-03,77,14196.00,10231962.00,731.00,712.00,724.00
109,2019-04-02,86,15403.00,10998068.00,718.00,710.00,717.00
110,2019-04-01,62,11973.00,8520113.00,714.00,709.00,712.00
111,2019-03-31,71,7019.00,4989641.00,717.00,707.00,712.00
112,2019-03-28,44,5004.00,3560176.00,719.00,708.00,714.00
113,2019-03-27,62,9163.00,6518505.00,715.00,709.00,709.00
114,2019-03-26,46,3898.00,2766912.00,712.00,706.00,712.00
115,2019-03-25,67,7028.00,5001380.00,716.00,709.00,712.00
116,2019-03-24,63,5859.00,4167379.00,721.00,709.00,712.00
117,2019-03-21,90,8927.00,6376826.00,722.00,708.00,710.00
118,2019-03-19,16,1020.00,735840.00,724.00,718.00,723.00
119,2019-03-18,70,9174.00,6660220.00,730.00,722.00,722.00
120,2019-03-17,85,9881.00,7160677.00,730.00,715.00,722.00
121,2019-03-14,43,3812.00,2724814.00,720.00,708.00,715.00
122,2019-03-13,118,11803.00,8544860.00,731.00,715.00,715.00
123,2019-03-12,126,12884.00,9192682.00,720.00,696.00,720.00
124,2019-03-11,100,16082.00,11171683.00,700.00,691.00,696.00
125,2019-03-10,25,1992.00,1371509.00,691.00,686.00,691.00
126,2019-03-07,61,7555.00,5187912.00,690.00,685.00,688.00
127,2019-03-06,69,10200.00,6992179.00,688.00,680.00,686.00
128,2019-03-05,60,6279.00,4299414.00,690.00,681.00,683.00
129,2019-03-03,84,8715.00,5981206.00,691.00,680.00,682.00
130,2019-02-27,48,4794.00,3287509.00,689.00,681.00,687.00
131,2019-02-26,162,9887.00,6780379.00,708.93,678.00,687.00
132,2019-02-25,308,31622.00,25071269.00,799.00,789.00,794.00
133,2019-02-24,158,15486.00,12382022.00,810.00,792.00,795.00
134,2019-02-21,135,17561.00,13943026.00,803.00,789.00,803.00
135,2019-02-20,99,9080.00,7134674.00,793.00,780.00,789.00
136,2019-02-19,105,7663.00,6056596.00,795.00,776.00,793.00
137,2019-02-18,254,29718.00,23363212.00,815.00,778.00,783.00
138,2019-02-17,59,6470.00,5260676.00,829.00,807.00,807.00
139,2019-02-14,36,2494.00,2045066.00,825.00,818.00,818.00
140,2019-02-13,48,3151.00,2590226.00,830.00,818.00,822.00
141,2019-02-12,43,2448.00,2022793.00,830.00,825.00,825.00
142,2019-02-11,30,3879.00,3206308.00,830.00,823.00,825.00
143,2019-02-10,34,2399.00,1978534.00,831.00,820.00,824.00
144,2019-02-07,32,3757.00,3121345.00,835.00,826.00,831.00
145,2019-02-06,48,3267.00,2700338.00,830.00,825.00,828.00
146,2019-02-05,30,2150.00,1786992.00,835.00,829.00,830.00
147,2019-02-04,69,5154.00,4282870.00,841.00,825.00,829.00
148,2019-02-03,52,4165.00,3504489.00,845.00,840.00,841.00
149,2019-01-31,53,4408.00,3704155.00,844.00,837.00,841.00
150,2019-01-30,61,3605.00,3021780.00,841.00,830.00,837.00
151,2019-01-29,70,6286.00,5226541.00,835.00,830.00,830.00
152,2019-01-28,35,2227.00,1857209.00,838.00,832.00,834.00
153,2019-01-27,43,3910.00,3264588.00,841.00,832.00,838.00
154,2019-01-24,34,2567.00,2157456.00,843.00,838.00,840.00
155,2019-01-23,52,4189.00,3525291.00,850.00,838.00,838.00
156,2019-01-22,32,1670.00,1408160.00,845.00,841.00,842.00
157,2019-01-21,33,3420.00,2879855.00,848.00,836.00,843.00
158,2019-01-20,31,3123.00,2644690.00,850.00,844.00,850.00
159,2019-01-17,39,2128.00,1789744.00,845.00,836.00,844.00
160,2019-01-16,41,2960.00,2495960.00,858.00,841.00,845.00
161,2019-01-15,27,2708.00,2274094.00,842.00,834.00,842.00
162,2019-01-14,50,4045.00,3380041.00,844.00,830.00,836.00
163,2019-01-13,32,3132.00,2630499.00,851.00,835.00,838.00
164,2019-01-10,59,5480.00,4594681.00,848.00,834.00,835.00
165,2019-01-09,48,4380.00,3665005.00,840.00,834.00,834.00
166,2019-01-08,48,3971.00,3320723.00,839.00,835.00,837.00
167,2019-01-07,35,4589.00,3841093.00,840.00,835.00,835.00
168,2019-01-06,61,7310.00,6131147.00,848.00,835.00,837.00
169,2019-01-03,65,9928.00,8406376.00,855.00,841.00,841.00
170,2019-01-02,35,5122.00,4367064.00,859.00,850.00,850.00
171,2019-01-01,48,5002.00,4299360.00,863.00,851.00,851.00
172,2018-12-31,67,7285.00,6272105.00,879.00,860.00,860.00
173,2018-12-30,48,4130.00,3580230.00,877.00,865.00,866.00
174,2018-12-27,64,6193.00,5420729.00,880.00,864.00,865.00
175,2018-12-26,60,7037.00,6076478.00,870.00,860.00,864.00
176,2018-12-25,25,1588.00,1363054.00,870.00,855.00,862.00
177,2018-12-24,36,5253.00,4559230.00,876.00,865.00,868.00
178,2018-12-23,54,8974.00,7768742.00,870.00,851.00,870.00
179,2018-12-20,47,3393.00,2889782.00,860.00,845.00,851.00
180,2018-12-19,43,7082.00,6065755.00,860.00,850.00,850.00
181,2018-12-18,43,5028.00,4313427.00,862.00,856.00,858.00
182,2018-12-17,35,2512.00,2156799.00,869.00,850.00,862.00
183,2018-12-16,66,9410.00,8028210.00,859.00,847.00,853.00
184,2018-12-13,51,4879.00,4154691.00,855.00,847.00,847.00
185,2018-12-12,43,3175.00,2698524.00,860.00,845.00,851.00
