S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2019-09-05,32,4940.00,3202340.00,659.00,641.00,651.00
2,2019-09-04,55,13925.00,9090810.00,660.00,647.00,653.00
3,2019-09-03,58,10060.00,6515830.00,656.00,643.00,655.00
4,2019-09-02,32,7735.00,5103720.00,689.00,647.00,658.00
5,2019-09-01,22,3528.00,2343357.00,669.00,660.00,663.00
6,2019-08-29,19,3235.00,2149025.00,670.00,664.00,667.00
7,2019-08-28,17,965.00,644650.00,683.00,665.00,665.00
8,2019-08-27,12,5835.00,3911275.00,675.00,666.00,670.00
9,2019-08-26,23,960.00,641160.00,672.00,665.00,670.00
10,2019-08-25,23,7115.00,4744249.00,677.00,665.00,675.00
11,2019-08-22,25,2375.00,1588601.00,682.00,666.00,674.00
12,2019-08-21,12,1835.00,1222970.00,675.00,665.00,669.00
13,2019-08-20,26,2940.00,1953490.00,668.00,663.00,665.00
14,2019-08-19,45,6493.00,4347754.00,672.00,668.00,670.00
15,2019-08-18,33,9920.00,6673895.00,682.00,666.00,666.00
16,2019-08-15,64,9285.00,6275605.00,688.00,670.00,679.00
17,2019-08-14,22,2690.00,1832790.00,692.00,680.00,686.00
18,2019-08-13,36,2465.00,1691685.00,692.00,685.00,685.00
19,2019-08-12,29,14415.00,9962665.00,693.00,687.00,689.00
20,2019-08-11,23,3027.00,2079562.00,695.00,686.00,689.00
21,2019-08-08,24,2857.00,1972841.00,695.00,687.00,687.00
22,2019-08-07,19,9280.00,6411540.00,695.00,686.00,692.00
23,2019-08-06,18,4290.00,2966090.00,694.00,690.00,691.00
24,2019-08-05,25,4955.00,3423230.00,694.00,690.00,691.00
25,2019-08-04,23,4403.00,3047898.00,695.00,691.00,695.00
26,2019-08-01,22,2720.00,1892165.00,701.00,694.00,694.00
27,2019-07-31,12,1810.00,1258460.00,699.00,690.00,698.00
28,2019-07-30,22,5076.00,3511366.00,703.00,685.00,695.00
29,2019-07-29,12,1000.00,689710.00,695.00,687.00,693.00
30,2019-07-28,24,2094.00,1439208.00,692.00,687.00,691.00
31,2019-07-25,25,4585.00,3191200.00,698.00,693.00,695.00
32,2019-07-24,12,1550.00,1078750.00,699.00,693.00,699.00
33,2019-07-23,25,6625.00,4596855.00,705.00,693.00,697.00
34,2019-07-22,15,3255.00,2273380.00,699.00,695.00,699.00
35,2019-07-21,25,3243.00,2252180.00,700.00,690.00,698.00
36,2019-07-18,14,1915.00,1328900.00,697.00,692.00,693.00
37,2019-07-17,40,15752.00,10939554.00,703.00,692.00,696.00
38,2019-07-16,29,2115.00,1458470.00,724.00,685.00,693.00
39,2019-07-15,19,1395.00,958710.00,690.00,686.00,690.00
40,2019-07-14,21,2725.00,1864575.00,696.00,681.00,685.00
41,2019-07-11,48,15488.00,10639550.00,695.00,683.00,683.00
42,2019-07-10,51,18725.00,12854155.00,700.00,685.00,686.00
43,2019-07-09,57,6630.00,4568735.00,694.00,687.00,694.00
44,2019-07-08,17,6555.00,4530735.00,697.00,690.00,693.00
45,2019-07-07,40,7865.00,5450650.00,698.00,692.00,697.00
